School_deID,GradeLevel,StudentGender,StudentEthnicity,Special_Education,Homeless,SocioEconomically,TestDayName,OverallScore,OverallLevel,ExpectedAttendanceDays,DaysAttended,EnrolledPct,GradeAttendedPct,TeacherGender,TeacherTotalYearsOfService,TeacherEthnicity,OverallScoreStd,TotalAssessments,Growth
3,1,1,4,0,0,1,6,1444,3,180.0,137.0,1.0,1.761111111111111,0,4,3,0.6163522012578616,1,0
2,0,0,4,0,1,1,5,1410,2,180.0,165.0,1.0,0.9166666666666666,0,1,7,0.4727272727272727,4,0
2,0,0,4,0,0,0,1,1453,3,180.0,180.0,1.0,0.999999,0,9,3,0.5509090909090909,4,1
2,1,0,4,0,0,1,0,1446,2,180.0,180.0,1.0,1.999999,0,5,7,0.6205450733752621,4,-1
2,3,0,4,0,1,1,4,1474,2,170.0,170.0,0.9444444444444444,3.999999,0,8,7,0.6206896551724138,4,0
0,0,0,4,1,0,1,5,1396,2,180.0,161.0,1.0,0.8944444444444445,0,11,3,0.44727272727272727,3,0
1,0,0,4,1,0,1,6,1413,2,180.0,169.0,1.0,0.9388888888888888,0,23,3,0.4781818181818182,3,0
1,3,0,4,1,0,0,4,1511,3,170.0,166.0,0.9444444444444444,3.976470588235294,0,17,3,0.6915708812260536,3,1
4,4,1,4,1,0,1,0,1428,1,180.0,172.0,1.0,4.955555555555556,0,4,3,0.4784853700516351,3,0
4,5,1,4,1,0,1,0,1461,1,180.0,171.0,1.0,5.95,0,8,3,0.5352839931153184,3,0
4,6,1,4,1,0,1,6,1417,1,180.0,175.0,1.0,6.972222222222222,0,22,3,0.46113989637305697,3,0
1,3,0,4,0,1,1,5,1474,2,180.0,159.0,1.0,3.883333333333333,0,9,3,0.6206896551724138,4,0
1,4,0,4,0,1,1,6,1522,3,180.0,166.0,1.0,4.922222222222223,0,18,1,0.6402753872633391,4,1
1,5,0,4,0,1,1,6,1508,2,165.0,157.0,0.9166666666666666,5.951515151515151,0,19,0,0.6161790017211703,4,-1
1,6,0,4,0,1,1,4,1539,3,180.0,172.0,1.0,6.955555555555556,0,11,0,0.6718480138169257,4,1
7,2,1,4,1,0,1,5,1470,3,180.0,145.0,1.0,2.805555555555556,0,19,3,0.5818181818181818,4,0
7,3,1,4,0,0,1,0,1526,3,179.0,179.0,0.9944444444444444,3.999999,0,2,0,0.7203065134099617,4,0
7,4,1,4,0,0,1,0,1455,1,180.0,180.0,1.0,4.999999,0,24,3,0.5249569707401033,4,-2
7,5,1,4,0,0,1,0,1569,4,180.0,176.0,1.0,5.977777777777778,0,25,3,0.7211703958691911,4,3
9,1,1,4,0,0,1,0,1457,3,180.0,180.0,1.0,1.999999,0,15,3,0.6436058700209644,4,0
9,2,1,4,0,0,1,1,1508,3,180.0,175.0,1.0,2.9722222222222223,0,27,3,0.6509090909090909,4,0
9,3,1,4,0,0,1,4,1534,3,180.0,179.0,1.0,3.994444444444445,0,12,3,0.735632183908046,4,0
9,4,1,4,0,0,1,5,1555,4,180.0,179.0,1.0,4.9944444444444445,0,14,3,0.6970740103270223,4,1
1,5,1,4,0,0,1,1,1493,3,180.0,176.0,1.0,5.977777777777778,0,6,7,0.5903614457831325,2,0
1,6,1,4,0,0,1,6,1489,2,180.0,179.0,1.0,6.9944444444444445,0,6,0,0.5854922279792746,2,-1
4,0,1,4,0,0,1,6,1425,3,180.0,164.0,1.0,0.9111111111111112,0,6,3,0.5,4,0
4,1,1,4,0,0,1,6,1478,3,180.0,175.0,1.0,1.9722222222222223,0,14,7,0.6876310272536688,4,0
4,3,1,4,0,0,1,0,1491,3,180.0,179.0,1.0,3.994444444444445,0,20,0,0.6532567049808429,4,0
4,4,1,4,0,0,1,5,1523,3,170.0,160.0,0.9444444444444444,4.941176470588236,1,25,7,0.6419965576592083,4,0
1,3,1,4,0,0,1,5,1512,3,180.0,161.0,1.0,3.894444444444445,0,9,3,0.6934865900383141,1,0
8,2,0,4,0,0,1,5,1442,2,180.0,157.0,1.0,2.8722222222222222,0,10,7,0.5309090909090909,4,0
8,3,0,4,0,0,1,4,1451,2,180.0,168.0,1.0,3.9333333333333336,0,20,7,0.5766283524904214,4,0
8,4,0,4,1,0,1,0,1398,1,180.0,174.0,1.0,4.966666666666667,0,18,3,0.4268502581755594,4,-1
8,5,0,4,1,0,1,5,1455,1,180.0,168.0,1.0,5.933333333333334,0,7,7,0.5249569707401033,4,0
0,0,1,4,0,0,1,0,1445,4,180.0,172.0,1.0,0.9555555555555556,0,4,3,0.5363636363636364,2,0
0,1,1,4,0,0,0,6,1600,4,180.0,172.0,1.0,1.955555555555556,0,23,7,0.9433962264150944,2,0
0,4,1,3,0,1,1,5,1543,3,132.0,118.0,0.7333333333333333,4.893939393939394,0,26,3,0.6764199655765921,5,0
7,0,1,3,0,1,1,6,1459,4,180.0,149.0,1.0,0.8277777777777777,0,2,3,0.5618181818181818,5,0
0,1,1,3,0,0,1,5,1451,2,180.0,172.0,1.0,1.955555555555556,0,31,7,0.6310272536687631,5,-2
0,2,1,3,0,0,1,5,1481,3,180.0,170.0,1.0,2.9444444444444446,0,6,3,0.6018181818181818,5,1
0,3,1,3,0,0,1,6,1527,3,180.0,161.0,1.0,3.894444444444445,0,7,7,0.7222222222222222,5,0
7,4,0,4,0,0,1,4,1556,4,170.0,145.0,0.9444444444444444,4.852941176470588,0,26,3,0.6987951807228916,5,0
7,0,0,4,0,0,1,0,1439,3,180.0,172.0,1.0,0.9555555555555556,0,17,3,0.5254545454545455,5,0
7,1,0,4,0,0,1,4,1476,3,180.0,177.0,1.0,1.9833333333333332,0,37,3,0.6834381551362684,5,0
7,2,0,4,0,0,1,1,1476,3,180.0,178.0,1.0,2.988888888888889,0,24,3,0.5927272727272728,5,0
7,3,0,4,0,0,1,5,1510,3,180.0,175.0,1.0,3.9722222222222223,1,11,7,0.6896551724137931,5,0
2,3,0,4,0,0,1,0,1535,3,180.0,175.0,1.0,3.9722222222222223,0,2,7,0.7375478927203065,1,0
0,0,1,4,0,1,1,1,1432,3,180.0,151.0,1.0,0.8388888888888889,0,4,3,0.5127272727272727,2,0
0,1,1,4,0,0,0,5,1472,3,180.0,173.0,1.0,1.9611111111111112,0,8,3,0.6750524109014675,2,0
2,6,0,4,0,0,1,5,1583,4,180.0,148.0,1.0,6.822222222222222,0,10,7,0.7478411053540587,1,0
9,4,0,4,0,0,1,6,1544,4,180.0,153.0,1.0,4.85,0,2,2,0.6781411359724613,1,0
8,6,1,4,0,0,1,5,1479,2,180.0,127.0,1.0,6.705555555555556,0,11,3,0.5682210708117443,1,0
1,0,1,4,1,1,1,1,1437,3,163.0,153.0,0.9055555555555556,0.9386503067484664,0,5,3,0.5218181818181818,4,0
1,1,1,4,1,0,1,0,1465,3,180.0,175.0,1.0,1.9722222222222223,0,6,7,0.660377358490566,4,0
1,2,1,4,0,0,1,5,1529,3,180.0,177.0,1.0,2.9833333333333334,0,20,3,0.6890909090909091,4,0
1,3,1,4,0,0,1,0,1554,4,180.0,169.0,1.0,3.938888888888889,0,3,3,0.7739463601532567,4,1
5,4,0,4,0,0,0,5,1430,1,180.0,165.0,1.0,4.916666666666667,0,15,3,0.4819277108433735,3,0
5,5,0,4,0,0,0,0,1514,3,168.0,89.0,0.9333333333333332,5.529761904761905,0,28,7,0.6265060240963856,3,2
5,6,0,4,0,0,0,4,1483,2,170.0,101.0,0.9444444444444444,6.594117647058823,0,27,7,0.5751295336787565,3,-1
7,4,0,4,0,0,1,6,1531,3,170.0,163.0,0.9444444444444444,4.958823529411765,0,29,3,0.6557659208261618,5,0
7,0,0,4,0,0,1,4,1402,2,180.0,178.0,1.0,0.9888888888888888,0,17,3,0.4581818181818182,5,0
7,1,0,4,0,0,1,4,1486,3,180.0,171.0,1.0,1.95,0,37,3,0.7044025157232704,5,1
7,2,0,4,0,0,1,1,1482,3,180.0,179.0,1.0,2.9944444444444445,0,24,3,0.6036363636363636,5,0
7,3,0,4,0,0,1,1,1518,3,180.0,176.0,1.0,3.977777777777778,1,11,7,0.7049808429118773,5,0
2,6,1,4,0,0,1,6,1520,3,170.0,164.0,0.9444444444444444,6.964705882352941,0,22,7,0.6390328151986183,5,0
2,2,1,4,0,0,1,5,1416,1,180.0,178.0,1.0,2.988888888888889,0,5,3,0.48363636363636364,5,0
2,3,1,4,0,0,1,1,1462,2,180.0,175.0,1.0,3.9722222222222223,0,33,7,0.5977011494252874,5,1
2,4,1,4,0,0,1,6,1447,1,180.0,178.0,1.0,4.988888888888889,0,10,7,0.5111876075731497,5,-1
2,5,1,4,0,0,1,4,1510,2,180.0,179.0,1.0,5.9944444444444445,0,18,2,0.6196213425129088,5,1
9,6,1,4,0,0,1,4,1478,2,180.0,174.0,1.0,6.966666666666667,0,14,7,0.5664939550949913,1,0
0,6,1,4,0,0,0,5,1559,3,180.0,177.0,1.0,6.983333333333333,0,20,7,0.7063903281519862,1,0
3,2,0,4,0,0,1,0,1521,4,180.0,179.0,1.0,2.9944444444444445,0,13,3,0.6745454545454546,1,0
7,4,0,4,0,0,1,6,1532,3,180.0,177.0,1.0,4.983333333333333,0,14,3,0.657487091222031,1,0
5,2,0,3,0,0,1,5,1586,4,180.0,173.0,1.0,2.9611111111111112,0,18,7,0.7927272727272727,1,0
5,0,1,3,0,0,1,6,1440,3,180.0,176.0,1.0,0.9777777777777776,0,26,3,0.5272727272727272,2,0
5,1,1,3,0,0,1,1,1617,4,180.0,177.0,1.0,1.9833333333333332,0,10,7,0.9790356394129979,2,1
3,5,1,4,1,0,1,1,1490,3,180.0,166.0,1.0,5.922222222222223,0,2,7,0.5851979345955249,2,0
3,6,1,4,1,0,1,1,1503,2,180.0,177.0,1.0,6.983333333333333,0,18,3,0.6096718480138169,2,-1
2,0,0,3,0,1,1,5,1383,2,180.0,162.0,1.0,0.9,0,1,7,0.42363636363636364,1,0
1,2,0,4,1,0,1,3,1271,1,180.0,176.0,1.0,2.977777777777778,0,20,3,0.22,1,0
4,5,0,4,0,1,1,1,1459,2,180.0,171.0,1.0,5.95,0,1,2,0.53184165232358,2,0
4,6,0,4,1,1,1,0,1471,1,180.0,178.0,1.0,6.988888888888889,0,13,3,0.5544041450777202,2,-1
4,6,1,4,1,0,1,1,1454,1,180.0,171.0,1.0,6.95,0,26,7,0.5250431778929189,1,0
0,2,1,4,0,0,1,1,1487,3,180.0,173.0,1.0,2.9611111111111112,0,6,2,0.6127272727272727,2,0
0,3,1,4,0,0,1,0,1498,3,180.0,171.0,1.0,3.95,0,3,7,0.6666666666666666,2,0
2,1,0,4,1,0,1,6,1497,4,180.0,169.0,1.0,1.9388888888888889,0,3,7,0.7274633123689728,2,0
2,2,0,4,1,0,1,6,1638,4,180.0,177.0,1.0,2.9833333333333334,0,1,7,0.8872727272727273,2,0
2,6,0,4,0,0,1,1,1497,2,180.0,145.0,1.0,6.805555555555555,0,4,2,0.5993091537132987,1,0
9,3,1,1,0,0,1,1,1457,2,179.0,175.0,0.9944444444444444,3.977653631284916,0,10,3,0.5881226053639846,2,0
9,4,1,1,0,0,1,4,1555,4,180.0,179.0,1.0,4.9944444444444445,0,13,3,0.6970740103270223,2,2
8,2,0,4,0,0,1,5,1600,4,163.0,139.0,0.9055555555555556,2.852760736196319,0,10,7,0.8181818181818182,1,0
3,3,0,4,0,0,1,1,1463,2,180.0,162.0,1.0,3.9,1,10,3,0.5996168582375478,4,0
3,4,0,4,0,0,1,1,1529,3,180.0,176.0,1.0,4.977777777777778,0,5,7,0.6523235800344234,4,1
3,5,0,4,0,0,1,6,1546,3,180.0,180.0,1.0,5.999999,0,6,7,0.6815834767641996,4,0
3,6,0,4,0,0,1,4,1583,4,180.0,180.0,1.0,6.999999,0,35,3,0.7478411053540587,4,1
8,6,0,4,1,0,0,0,1300,1,180.0,177.0,1.0,6.983333333333333,0,18,3,0.25906735751295334,1,0
4,4,1,4,0,0,1,0,1498,3,180.0,169.0,1.0,4.938888888888889,0,4,3,0.5989672977624785,1,0
4,3,1,4,0,0,1,1,1465,2,180.0,170.0,1.0,3.9444444444444446,0,13,3,0.603448275862069,4,0
4,4,1,4,0,0,1,1,1504,3,180.0,175.0,1.0,4.972222222222222,1,14,7,0.6092943201376936,4,1
4,5,1,4,0,0,1,5,1544,3,180.0,175.0,1.0,5.972222222222222,0,5,2,0.6781411359724613,4,0
4,6,1,4,0,0,1,6,1464,1,180.0,113.0,1.0,6.627777777777778,0,23,3,0.542314335060449,4,-2
8,6,0,4,0,0,1,5,1481,2,180.0,170.0,1.0,6.944444444444445,0,2,7,0.5716753022452504,1,0
2,1,1,4,0,0,1,5,1387,1,180.0,178.0,1.0,1.988888888888889,0,4,3,0.4968553459119497,4,0
2,2,1,4,0,0,1,0,1435,2,180.0,175.0,1.0,2.9722222222222223,0,18,3,0.5181818181818182,4,1
